Latitude,Longitude,Detail,DCA License Number,License Type,License Expiration Date,License Category,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough
40.7837749,-73.9808955,"Vehicle Spaces: 100, Bicycle Spaces: 0",2064187-DCA,Business,02/27/2018,Garage,254 WEST 79TH STREET PARKING CORP,,252,W 79TH ST,,NEW YORK,NY,10024,212-736-7171,Manhattan
40.8479945,-73.923381,"Vehicle Spaces: 72, Bicycle Spaces: 0",2064173-DCA,Business,03/31/2019,Garage and Parking Lot,JKH BUSINESS CORP,,1579,UNDERCLIFF AVE,,BRONX,NY,10453,,Bronx
40.840749,-73.86466,"Vehicle Spaces: 100, Bicycle Spaces: 10",2064023-DCA,Business,07/06/2018,Garage,SUPER ELITE PARKING INC,,1872,E TREMONT AVE,,BRONX,NY,10460,3474855287,Bronx
40.860282,-73.897362,"Vehicle Spaces: 100, Bicycle Spaces: 10",2064021-DCA,Business,07/06/2018,Garage,SUPER ELITE PARKING INC,,257,E 187TH ST,,BRONX,NY,10458,3474855287,Bronx
40.83841,-73.859179,"Vehicle Spaces: 81, Bicycle Spaces: 9",2063931-DCA,Business,03/13/2018,Garage and Parking Lot,LM DRIGGS PARKING LLC,,247,METROPOLITAN AVE,,BROOKLYN,NY,11211,212-714-3571,Brooklyn
40.7222435,-73.9874957,"Vehicle Spaces: 99, Bicycle Spaces: 0",2061663-DCA,Business,03/31/2019,Garage,169 LUDLOW PARKING LLC,,180,ORCHARD ST,,NEW YORK,NY,10002,212-262-4771,Manhattan
40.7525281,-73.9676949,"Vehicle Spaces: 76, Bicycle Spaces: 8",2060785-DCA,Business,03/31/2019,Garage,ENTERPRISE WORLD PARKING LLC,,845,UNITED NATIONS PLZ,,NEW YORK,NY,10017,212-564-3199,Manhattan
40.7086697,-73.8693666,"Vehicle Spaces: 660, Bicycle Spaces: 25",2060722-DCA,Business,03/31/2019,Garage,THE CAR PARK OF NEW YORK LLC,,8020,COOPER AVE,,GLENDALE,NY,11385,208-336-6597,Queens
40.6774794,-73.9654351,"Vehicle Spaces: 38, Bicycle Spaces: 0",2060564-DCA,Business,03/21/2018,Garage,786 PARKING CORP,,313,SAINT MARKS AVE,,BROOKLYN,NY,11238,7186180029,Brooklyn
40.7655373,-73.9551161,"Vehicle Spaces: 95, Bicycle Spaces: 10",2060133-DCA,Business,04/19/2018,Garage,RAPID PARK HOLDING CORP,CORNELL MEDICAL CENTER,1305,YORK AVE,,NEW YORK,NY,10021,212-866-1000,Manhattan
40.689637,-73.980042,"Vehicle Spaces: 126, Bicycle Spaces: 13",2059807-DCA,Business,03/31/2019,Garage,"WOC 80 DEKALB GARAGE, LLC",,80,DEKALB AVE,,BROOKLYN,NY,11201,516-565-5600,Brooklyn
40.7453465,-73.9786974,"Vehicle Spaces: 55, Bicycle Spaces: 6",2059806-DCA,Business,03/31/2019,Garage,JO DASH PARKING LLC,,488,3RD AVE,,NEW YORK,NY,10016,2126869800,Manhattan
40.6909484,-73.9879549,"Vehicle Spaces: 18, Bicycle Spaces: 0",2059649-DCA,Business,03/31/2019,Garage,SMITH & LIVINGSTON PARKING LLC,,141,LIVINGSTON ST,,BROOKLYN,NY,11201,212-686-9800,Brooklyn
40.7285087,-74.0079298,"Vehicle Spaces: 100, Bicycle Spaces: 10",2059578-DCA,Business,03/31/2019,Garage and Parking Lot,375 HUD PARKING LLC,,375,HUDSON ST,,NEW YORK,NY,10014,2126869800,Manhattan
40.741864,-73.994885,"Vehicle Spaces: 53, Bicycle Spaces: 5",2059576-DCA,Business,04/24/2018,Garage,21ST AND 11TH PARKING LLC,,551,W 21ST ST,,NEW YORK,NY,10011,212-686-9800,Manhattan
40.734884,-74.005391,"Vehicle Spaces: 206, Bicycle Spaces: 20",2059559-DCA,Business,03/31/2019,Garage,IMPERIAL PARKING (US) LLC,,97,CHARLES ST,AKA 100-102 PERRY STREET,NEW YORK,NY,10014,2129378660,Manhattan
40.738934,-74.001318,"Vehicle Spaces: 86, Bicycle Spaces: 9",2059556-DCA,Business,03/31/2019,Garage,IMPERIAL PARKING (US) LLC,,222,W 14TH ST,,NEW YORK,NY,10011,2129378660,Manhattan
40.7654373,-73.9770055,"Vehicle Spaces: 76, Bicycle Spaces: 8",2059538-DCA,Business,03/31/2019,Garage and Parking Lot,58W58 PARKING LLC,,58,W 58TH ST,,NEW YORK,NY,10019,,Manhattan
40.7659207,-73.9823142,"Vehicle Spaces: 196, Bicycle Spaces: 20",2059472-DCA,Business,03/31/2019,Garage,CARNEGIE BROADWAY PARKING LLC,,211-221,W 56TH ST,,NEW YORK,NY,10019,2126869800,Manhattan
40.7671943,-73.9916031,"Vehicle Spaces: 725, Bicycle Spaces: 25",2059451-DCA,Business,03/22/2018,Garage,PARK KWIK LLC,,325,KENT AVE,,BROOKLYN,NY,11249,718-855-1730,Brooklyn
40.6690686,-73.8617107,"Vehicle Spaces: 131, Bicycle Spaces: 0",2058999-DCA,Business,03/31/2019,Garage and Parking Lot,SHOWTIME VALET PARKING CORP.,,2804,E 19TH ST,,BROOKLYN,NY,11235,6464002531,Brooklyn
40.7057921,-73.7982883,"Vehicle Spaces: 25, Bicycle Spaces: 0",2058615-DCA,Business,03/31/2019,Garage,"IMPERIAL PARKING (U.S.), LLC",IMpark,150,NASSAU ST,,NEW YORK,NY,10038,2129378660,Manhattan
40.783029,-73.978877,"Vehicle Spaces: 95, Bicycle Spaces: 10",2058614-DCA,Business,03/31/2019,Garage,IMPERIAL PARKING US LLC,IMpark,200,W 79TH ST,,NEW YORK,NY,10024,2129378660 X225,Manhattan
40.7569545,-73.990494,"Vehicle Spaces: 99, Bicycle Spaces: 10",2058395-DCA,Business,04/08/2018,Garage,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,504,MYRTLE AVE,,BROOKLYN,NY,11205,212-265-2239,Brooklyn
40.6899859,-73.9878023,"Vehicle Spaces: 160, Bicycle Spaces: 16",2057853-DCA,Business,05/03/2018,Garage and Parking Lot,255 SCHERMERHORN STREET PARKING CORP.,,33,BOND ST,,BROOKLYN,NY,11201,2127367171,Brooklyn
40.756994,-73.9629378,"Vehicle Spaces: 571, Bicycle Spaces: 24",2057793-DCA,Business,03/31/2019,Garage,400 EAST 56 PARKING LLC,,400,E 56TH ST,,NEW YORK,NY,10022,2127522884,Manhattan
40.8828287,-73.9079203,"Vehicle Spaces: 150, Bicycle Spaces: 15",2057605-DCA,Business,03/31/2019,Garage,NEW RIVERDALE PARKING INC.,,3217,IRWIN AVE,,BRONX,NY,10463,2128821911,Bronx
40.7478785,-73.9738969,"Vehicle Spaces: 35, Bicycle Spaces: 0",2057385-DCA,Business,03/31/2019,Garage,PROTO PARKING INC,,250,E 39TH ST,,NEW YORK,NY,10016,6462092694,Manhattan
40.8688916,-73.9318775,"Vehicle Spaces: 149, Bicycle Spaces: 15",2056213-DCA,Business,03/31/2019,Garage,LA MARINA PARKING LLC,,284,DYCKMAN ST,,NEW YORK,NY,10034,34784325023,Manhattan
40.6878775,-73.9578023,"Vehicle Spaces: 40, Bicycle Spaces: 0",2056050-DCA,Business,03/31/2019,Garage,F & A PARKING CORP,24 HOURS PARKING GARAGE,333,GREENE AVE,,BROOKLYN,NY,11238,718-399-2640,Brooklyn
40.737565,-73.860791,"Vehicle Spaces: 194, Bicycle Spaces: 19",2055928-DCA,Business,03/31/2019,Garage,SP PLUS CORPORATION,,9844,57TH AVE,,CORONA,NY,11368,,Queens
40.6721276,-73.9303104,"Vehicle Spaces: 28, Bicycle Spaces: 0",2055878-DCA,Business,03/31/2019,Garage,"YORK PARKING, LLC",,1418,YORK AVE,,NEW YORK,NY,10021,646-773-4400,Manhattan
40.755037,-73.832943,"Vehicle Spaces: 105, Bicycle Spaces: 11",2055426-DCA,Business,03/31/2019,Garage,RKKS GROUP INC.,,13203,SANFORD AVE,,FLUSHING,NY,11355,9172852934,Queens
40.8476281,-73.9241854,"Vehicle Spaces: 178, Bicycle Spaces: 18",2054987-DCA,Business,03/31/2019,Garage,TLC PARKING INC,,1600,SEDGWICK AVE,,BRONX,NY,10453,3475388602,Bronx
40.7661506,-73.9568006,"Vehicle Spaces: 56, Bicycle Spaces: 6",2054849-DCA,Business,03/31/2019,Garage,70TH PARK OPS LLC,,400,E 70TH ST,,NEW YORK,NY,10021,2129299404,Manhattan
40.7607698,-73.9780276,"Vehicle Spaces: 581, Bicycle Spaces: 24",2054793-DCA,Business,03/31/2019,Garage,SP PLUS CORPORATION,,1292,PARK AVE,,NEW YORK,NY,10029,,Manhattan
40.8018823,-73.9611225,"Vehicle Spaces: 87, Bicycle Spaces: 8",2054449-DCA,Business,03/31/2019,Garage,"PROPARK AMERICA NEW YORK, LLC",,11045,QUEENS BLVD,,FOREST HILLS,NY,11375,3124516460,Queens
40.752001,-73.988994,"Vehicle Spaces: 149, Bicycle Spaces: 15",2054403-DCA,Business,03/31/2019,Garage,ATRIUM PARK LLC,,155,W 36TH ST,,NEW YORK,NY,10018,212-686-9800,Manhattan
40.7654964,-73.9631442,"Vehicle Spaces: 255, Bicycle Spaces: 21",2054402-DCA,Business,03/31/2019,Garage,EASTSIDE 65 PARKING LLC,,200,E 66TH ST,,NEW YORK,NY,10065,212-686-9800,Manhattan
40.7156262,-73.9547093,"Vehicle Spaces: 52, Bicycle Spaces: 5",2054333-DCA,Business,03/31/2019,Garage,247 NORTH 7TH STREET PARKING CORP.,,248,N 8TH ST,,BROOKLYN,NY,11211,929-337-8633,Brooklyn
40.7816452,-73.9803477,"Vehicle Spaces: 106, Bicycle Spaces: 10",2054291-DCA,Business,03/19/2018,Garage,CHAMPION PARKING 92 LLC,,114,W 92ND ST,,NEW YORK,NY,10025,2123085959,Manhattan
40.767111,-73.9872319,"Vehicle Spaces: 27, Bicycle Spaces: 0",2053069-DCA,Business,07/06/2018,Garage and Parking Lot,"PROPARK AMERICA NEW YORK, LLC",,920,PARK AVE,,NEW YORK,NY,10028,3124516460,Manhattan
40.797296,-73.968767,"Vehicle Spaces: 300, Bicycle Spaces: 21",2053064-DCA,Business,07/06/2018,Garage,"PRO PARK AMERICA NEW YORK, LLC",,204,W 101ST ST,,NEW YORK,NY,10025,9174152749,Manhattan
40.792626,-73.9680555,"Vehicle Spaces: 44, Bicycle Spaces: 0",2053019-DCA,Business,03/31/2019,Garage,COLUMBUS 95 PARKING LLC,,730,COLUMBUS AVE,,NEW YORK,NY,10025,2126869800,Manhattan
40.7621078,-73.9847638,"Vehicle Spaces: 60, Bicycle Spaces: 6",2052975-DCA,Business,07/06/2018,Garage and Parking Lot,M&N Group Parking Inc,,2990,JEROME AVE,,BRONX,NY,10468,9174705093,Bronx
40.743429,-73.917388,"Vehicle Spaces: 74, Bicycle Spaces: 8",2052724-DCA,Business,03/31/2019,Garage,GMH PARK INC,,4701,QUEENS BLVD,,SUNNYSIDE,NY,11104,9172140583,Queens
40.732216,-74.008607,"Vehicle Spaces: 67, Bicycle Spaces: 7",2052194-DCA,Business,03/31/2019,Garage,GREENWICH STREET GARAGE LLC,,641,WASHINGTON ST,,NEW YORK,NY,10014,6465840409,Manhattan
40.7569545,-73.990494,"Vehicle Spaces: 67, Bicycle Spaces: 10",2051625-DCA,Business,03/31/2019,Garage,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,347-353,E 17TH ST,,NEW YORK,NY,10003,212-265-2239,Manhattan
40.7544453,-73.7077153,"Vehicle Spaces: 921, Bicycle Spaces: 32",2051520-DCA,Business,03/31/2019,Garage and Parking Lot,LONG ISLAND JEWISH MEDICAL CENTER,,27117,76TH AVE,,NEW HYDE PARK,NY,11040,718-470-7202,Queens
40.805339,-73.934273,"Vehicle Spaces: 58, Bicycle Spaces: 6",2051515-DCA,Business,03/31/2019,Garage,ADD PARK INC,,3213,3RD AVE,,BRONX,NY,10451,7189939003,Bronx
40.881702,-73.870181,"Vehicle Spaces: 100, Bicycle Spaces: 68",2051479-DCA,Business,03/06/2018,Garage and Parking Lot,C & C PARKING LOT CORP,,3560,WEBSTER AVE,,BRONX,NY,10467,,Bronx
40.747662,-73.942627,"Vehicle Spaces: 49, Bicycle Spaces: 0",2051385-DCA,Business,04/05/2018,Garage,43-25 HUNTER STREET PARKING CORP.,,4325,HUNTER ST,,LONG ISLAND CITY,NY,11101,2127367171,Queens
40.5797723,-73.9793253,"Vehicle Spaces: 253, Bicycle Spaces: 21",2051337-DCA,Business,03/31/2019,Garage,NEPTUNE PARKING LLC,,486,NEPTUNE AVE,486-530 NEPTUNE AVE,BROOKLYN,NY,11224,2126869800,Brooklyn
40.7074866,-74.0141427,"Vehicle Spaces: 148, Bicycle Spaces: 15",2051269-DCA,Business,04/23/2018,Garage and Parking Lot,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",,1113,YORK AVE,,NEW YORK,NY,10065,212-265-2239,Manhattan
40.8103849,-73.9430799,"Vehicle Spaces: 77, Bicycle Spaces: 8",2051104-DCA,Business,03/31/2019,Garage,LENOX PARKING GARAGE LLC,,380,LENOX AVE,,NEW YORK,NY,10027,2032029746,Manhattan
40.7192312,-73.9632924,"Vehicle Spaces: 174, Bicycle Spaces: 17",2051094-DCA,Business,03/31/2019,Garage,LINC GARAGE LLC,,20,N 5TH ST,,BROOKLYN,NY,11249,646-584-0409,Brooklyn
40.7443127,-73.9569511,"Vehicle Spaces: 527, Bicycle Spaces: 23",2051058-DCA,Business,03/31/2019,Garage,CL PARKING LLC,,4809,CENTER BLVD,,LONG ISLAND CITY,NY,11109,212-686-9800,Queens
40.7632435,-73.9596731,"Vehicle Spaces: 69, Bicycle Spaces: 7",2051013-DCA,Business,03/31/2019,Garage and Parking Lot,LENOX 65 PARKING LLC,,1189,1ST AVE,,NEW YORK,NY,10065,2126869800,Manhattan
40.777403,-73.901823,"Vehicle Spaces: 219, Bicycle Spaces: 20",2050925-DCA,Business,03/27/2018,Garage,SUPER ELITE PARKING INC,,1973,38TH ST,,ASTORIA,NY,11105,3474855287,Queens
40.760048,-73.9608144,"Vehicle Spaces: 188, Bicycle Spaces: 18",2050361-DCA,Business,07/06/2018,Garage and Parking Lot,403 East 60th Street Parking LLC,,403,E 60TH ST,,NEW YORK,NY,10022,,Manhattan
40.7028278,-73.9893866,"Vehicle Spaces: 175, Bicycle Spaces: 18",2050330-DCA,Business,02/27/2018,Garage,PARK KWIK LLC,,286,ASHLAND PL,,BROOKLYN,NY,11217,718-855-1730,Brooklyn
40.7721966,-73.9797529,"Vehicle Spaces: 195, Bicycle Spaces: 20",2050301-DCA,Business,03/31/2019,Garage,10 WEST 66TH STREET CAR PARK LLC,GGMC,10,W 66TH ST,,NEW YORK,NY,10023,2129966363,Manhattan
40.6922452,-73.9450693,"Vehicle Spaces: 55, Bicycle Spaces: 6",2049780-DCA,Business,03/31/2019,Garage,F & A PARKING CORP,,525,CLINTON AVE,,BROOKLYN,NY,11238,718-399-2640,Brooklyn
40.6973518,-73.985574,"Vehicle Spaces: 141, Bicycle Spaces: 15",2048881-DCA,Business,03/31/2019,Garage and Parking Lot,40 FLATBUSH REALTY LLC,,25,CHAPEL ST,,BROOKLYN,NY,11201,2122398580,Brooklyn
40.820315,-73.909322,"Vehicle Spaces: 77, Bicycle Spaces: 8",2048766-DCA,Business,03/31/2019,Garage,EAGLE PARKING GARAGE INC,,775,EAGLE AVE,,BRONX,NY,10456,3472207660,Bronx
40.840263,-73.866577,"Vehicle Spaces: 16, Bicycle Spaces: 0",2048355-DCA,Business,03/31/2019,Garage,BROOK PARK PARKING CORP.,,1830,E TREMONT AVE,,BRONX,NY,10460,9174705093,Bronx
40.820149,-73.909435,"Vehicle Spaces: 53, Bicycle Spaces: 5",2048152-DCA,Business,03/31/2019,Garage,EAGLE PARKING GARAGE INC,,759,EAGLE AVE,,BRONX,NY,10456,3472207660,Bronx
40.83222,-73.892623,"Vehicle Spaces: 65, Bicycle Spaces: 7",2048149-DCA,Business,03/31/2019,Garage and Parking Lot,EZ PARKING GARAGE INC,,870,JENNINGS ST,,BRONX,NY,10459,3472207660,Bronx
40.831748,-73.891996,"Vehicle Spaces: 130, Bicycle Spaces: 13",2048147-DCA,Business,03/31/2019,Garage,EZ PARKING GARAGE INC,,1334,LOUIS NINE BLVD,,BRONX,NY,10459,3472207660,Bronx
40.7442294,-73.9752769,"Vehicle Spaces: 148, Bicycle Spaces: 15",2047955-DCA,Business,03/31/2019,Garage,300 E. 34 PARKING LLC,,300,E 34TH ST,,NEW YORK,NY,10016,212-481-6016,Manhattan
40.7561356,-73.8287881,"Vehicle Spaces: 200, Bicycle Spaces: 20",2047939-DCA,Business,03/31/2019,Garage,"CLEAN AIR CAR SERVICE & PARKING BRANCH 3, LLC",,3720,PRINCE ST,,FLUSHING,NY,11354,,Queens
40.840156,-73.866854,"Vehicle Spaces: 57, Bicycle Spaces: 6",2047847-DCA,Business,03/31/2019,Garage,BROOK PARK PARKING CORP.,,1820,E TREMONT AVE,,BRONX,NY,10460,9174705093,Bronx
40.7407338,-73.991273,"Vehicle Spaces: 200, Bicycle Spaces: 20",2047628-DCA,Business,02/27/2018,Garage,7 WEST 21 PARKING LLC,,7,W 21ST ST,,NEW YORK,NY,10010,212-888-7400,Manhattan
40.7632457,-73.9602487,"Vehicle Spaces: 300, Bicycle Spaces: 21",2047160-DCA,Business,03/31/2019,Garage and Parking Lot,"337 GARAGE, L.L.C.",,337,E 64TH ST,,NEW YORK,NY,10065,2128887400,Manhattan
40.7733248,-73.9542889,"Vehicle Spaces: 225, Bicycle Spaces: 20",2047157-DCA,Business,03/31/2019,Garage,301 EAST 79 PARKING LLC,,301,E 79TH ST,,NEW YORK,NY,10075,212-888-7400,Manhattan
40.7730544,-73.9587911,"Vehicle Spaces: 79, Bicycle Spaces: 7",2046932-DCA,Business,03/31/2019,Garage,167 EAST 77TH ST PARKING SERVICES LLC,,176,E 77TH ST,,NEW YORK,NY,10075,6467734400,Manhattan
40.7569545,-73.990494,"Vehicle Spaces: 99, Bicycle Spaces: 10",2046730-DCA,Business,03/31/2019,Garage,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",LAZ PARKING NY/NJ LLC,199,WATER ST,,NEW YORK,NY,10038,212-265-2239,Manhattan
40.763149,-73.924376,"Vehicle Spaces: 112, Bicycle Spaces: 11",2046301-DCA,Business,03/31/2019,Garage,ASTORIA CENTRAL PARKING LLC,,3157,31ST ST,,ASTORIA,NY,11106,7544447275,Queens
40.7616566,-73.9854979,"Vehicle Spaces: 120, Bicycle Spaces: 12",2046173-DCA,Business,03/31/2019,Garage,250 W. 50TH PARKING LLC,,250,W 50TH ST,,NEW YORK,NY,10019,2126869800,Manhattan
40.7243067,-73.991746,"Vehicle Spaces: 130, Bicycle Spaces: 13",2046168-DCA,Business,03/31/2019,Garage,BOWERY FIRST PARKING LLC,,11,E 1ST ST,,NEW YORK,NY,10003,2126869800,Manhattan
40.881702,-73.870181,"Vehicle Spaces: 60, Bicycle Spaces: 71",2046044-DCA,Business,05/01/2018,Garage,C & C Parking LLC,,899,WESTCHESTER AVE,,BRONX,NY,10459,,Bronx
40.84143,-73.9190502,"Vehicle Spaces: 100, Bicycle Spaces: 10",2045993-DCA,Business,03/31/2019,Garage,MKN PARKING CORP,,1355,CROMWELL AVE,,BRONX,NY,10452,6466516335,Bronx
40.7220823,-73.9571067,"Vehicle Spaces: 228, Bicycle Spaces: 20",2045510-DCA,Business,03/31/2019,Garage,NORTH 12 PARKING LLC,,55,WYTHE AVE,,BROOKLYN,NY,11249,9143209630,Brooklyn
40.7516566,-74.0034021,"Vehicle Spaces: 143, Bicycle Spaces: 14",2045376-DCA,Business,03/31/2019,Garage and Parking Lot,CHELSEA 29 PARKING LLC,,525,W 28TH ST,,NEW YORK,NY,10001,2126869800,Manhattan
40.7246413,-73.9912467,"Vehicle Spaces: 50, Bicycle Spaces: 0",2045345-DCA,Business,03/31/2019,Garage,EAST VILLAGE PARKING LLC,,22,E 1ST ST,,NEW YORK,NY,10003,2126869800,Manhattan
40.7358464,-73.985911,"Vehicle Spaces: 58, Bicycle Spaces: 6",2045317-DCA,Business,03/31/2019,Garage,IRVING 18TH PARKING LLC,,196,3RD AVE,,NEW YORK,NY,10003,2126869800,Manhattan
40.7367504,-73.9797208,"Vehicle Spaces: 160, Bicycle Spaces: 16",2045174-DCA,Business,03/31/2019,Garage,SHARP 22 PARKING LLC,,329,E 22ND ST,,NEW YORK,NY,10010,2126869800,Manhattan
40.7092555,-73.957988,"Vehicle Spaces: 153, Bicycle Spaces: 15",2045159-DCA,Business,03/29/2018,Garage,282 SOUTH 5TH PARKING LLC,,282,S 5TH ST,,BROOKLYN,NY,11211,212-837-4590,Brooklyn
40.713655,-73.9998401,"Vehicle Spaces: 130, Bicycle Spaces: 13",2045155-DCA,Business,03/31/2019,Garage,170 PARK ROW PARKING CORP,,170,PARK ROW,,NEW YORK,NY,10038,2127367171,Manhattan
40.7631174,-73.977654,"Vehicle Spaces: 24, Bicycle Spaces: 0",2045012-DCA,Business,03/31/2019,Garage,65 WEST 55TH STREET PARKING CORP,,57,W 55TH ST,,NEW YORK,NY,10019,2127367171,Manhattan
40.7594184,-73.9690789,"Vehicle Spaces: 42, Bicycle Spaces: 0",2045008-DCA,Business,03/31/2019,Garage and Parking Lot,155 EAST 55TH STREET PARKING CORP,,155,E 55TH ST,,NEW YORK,NY,10022,2127367171,Manhattan
40.7701979,-73.9550936,"Vehicle Spaces: 25, Bicycle Spaces: 0",2044842-DCA,Business,03/31/2019,Garage,333 EAST 75TH STREET PARKING CORP.,,333,E 75TH ST,,NEW YORK,NY,10021,2127367171,Manhattan
40.7313603,-73.862141,"Vehicle Spaces: 73, Bicycle Spaces: 8",2044503-DCA,Business,03/08/2018,Garage and Parking Lot,IMPARK QB LLC,,9277,QUEENS BLVD,,REGO PARK,NY,11374,212-937-8660,Queens
40.6824085,-73.9663546,"Vehicle Spaces: 35, Bicycle Spaces: 0",2044484-DCA,Business,03/31/2019,Garage,F & A PARKING CORP,24 HOURS PARKING,785,DEKALB AVE,,BROOKLYN,NY,11221,9292100066,Brooklyn
40.7692341,-73.9556288,"Vehicle Spaces: 38, Bicycle Spaces: 0",2044110-DCA,Business,03/31/2019,Garage,340 EAST 74TH STREET PARKING CORP,,340,E 74TH ST,,NEW YORK,NY,10021,2127367171,Manhattan
40.7486936,-73.9869171,"Vehicle Spaces: 34, Bicycle Spaces: 10",2043391-DCA,Business,03/31/2019,Garage,AZ PARKING CORP,,35,W 33RD ST,,NEW YORK,NY,10001,,Manhattan
40.8084088,-73.9521355,"Vehicle Spaces: 70, Bicycle Spaces: 7",2043321-DCA,Business,03/31/2019,Garage,PARK FDB LLC,,2280,FREDERICK DOUGLASS BLVD,,NEW YORK,NY,10027,2122228487,Manhattan
40.7697153,-73.9572188,"Vehicle Spaces: 58, Bicycle Spaces: 6",2043316-DCA,Business,03/31/2019,Garage,130 ST. FELIX STREET PARKING CORP.,,130,SAINT FELIX ST,,BROOKLYN,NY,11217,2127419009,Brooklyn
40.6467826,-74.0781903,"Vehicle Spaces: 820, Bicycle Spaces: 36",2043135-DCA,Business,03/10/2018,Garage,"IMPERIAL PARKING (U.S)., LLC",IMPARK,155,RICHMOND TER,,STATEN ISLAND,NY,10301,2129378660,Staten Island
40.832366,-73.885317,"Vehicle Spaces: 71, Bicycle Spaces: 7",2042873-DCA,Business,03/31/2019,Garage and Parking Lot,WEST FARMS PARKING LLC,,1512,BOONE AVE,,BRONX,NY,10460,914-960-1795,Bronx
40.7767692,-73.8739067,"Vehicle Spaces: 235, Bicycle Spaces: 23",2042764-DCA,Business,03/31/2019,Garage,"ABM PARKING SERVICES, INC",,1633,BROADWAY,,NEW YORK,NY,10019,,Manhattan
40.766991,-73.980003,"Vehicle Spaces: 25, Bicycle Spaces: 0",2042301-DCA,Business,03/31/2019,Garage,210 CENTRAL PARK SOUTH PARKING CORP.,,210,CENTRAL PARK S,,NEW YORK,NY,10019,2127367171,Manhattan
40.7351563,-74.0073354,"Vehicle Spaces: 240, Bicycle Spaces: 20",2041301-DCA,Business,07/06/2018,Garage,WEST VILLAGE GARAGE CORP,,125,PERRY ST,,NEW YORK,NY,10014,212-262-4771,Manhattan
40.7598121,-73.9593106,"Vehicle Spaces: 60, Bicycle Spaces: 6",2040594-DCA,Business,03/14/2018,Garage,CHAMPION PARKING NORTH LLC,,2917,QUEENS PLZ N,,LONG ISLAND CITY,NY,11101,212-308-5959,Queens
40.853781,-73.896861,"Vehicle Spaces: 100, Bicycle Spaces: 0",2039875-DCA,Business,07/06/2018,Garage and Parking Lot,A & D 24 Hour Parking Inc,,2160,WEBSTER AVE,,BRONX,NY,10457,,Bronx
40.7621078,-73.9847638,"Vehicle Spaces: 175, Bicycle Spaces: 18",2039264-DCA,Business,03/31/2019,Garage,"ABM PARKING SERVICES, INC",,866,UNITED NATIONS PLZ,,NEW YORK,NY,10017,,Manhattan
40.7081016,-74.0030465,"Vehicle Spaces: 90, Bicycle Spaces: 10",2039078-DCA,Business,03/31/2019,Garage and Parking Lot,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",LAZ PARKING NY/NJ LLC,779-789,RIVERSIDE DR,,NEW YORK,NY,10032,212-265-2239,Manhattan
